uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
99.12243,,-0.00552,0.01218,0.01241,-0.00376,-0.00260,0.00121,-0.01249,0.00421,0.00461,0.00004,-0.00101,-0.00132,-0.01502,-0.04438,-0.00800,-0.00075,-0.00101,-0.00087,0.18785,1.20390,0.35972,-0.07781,-0.98675,-0.02466,0.01988,1.56934,0.50396,-0.00412,0.99375,-0.03759,-0.10558,1.13209,0.31411,-0.02237,0.99825,0.04879
99.33093,,0.00351,0.00571,0.00104,0.00001,0.00219,-0.00108,0.00088,0.00115,0.00446,-0.00119,0.00145,-0.00104,0.00920,-0.00241,0.00158,-0.00208,0.00207,-0.00295,0.19136,1.20961,0.36076,-0.07669,-0.98725,-0.03630,0.02076,1.57049,0.50842,-0.01583,0.99386,-0.03405,-0.09638,1.12968,0.31569,-0.03497,0.99756,0.05362
99.53946,,0.02171,-0.01160,-0.00556,0.00233,-0.00030,-0.00827,0.02492,0.00026,0.00370,0.00464,0.00342,0.00063,0.01422,0.01303,0.01210,-0.00215,0.00305,0.00687,0.21307,1.19802,0.35519,-0.05863,-0.99284,-0.03046,0.04568,1.57076,0.51213,-0.03612,0.99559,-0.04676,-0.08216,1.14271,0.32779,-0.04052,0.99320,0.08621
99.74746,,0.02609,-0.01322,0.00168,-0.00567,0.00327,0.00397,0.03265,-0.00397,0.00563,0.00077,0.00194,0.00073,0.02045,0.03560,0.03407,-0.00188,0.00474,-0.00221,0.23916,1.18480,0.35687,-0.07779,-0.99360,0.00708,0.07834,1.56678,0.51776,-0.02594,0.99772,-0.04306,-0.06171,1.17831,0.36187,-0.06301,0.98750,0.11260
99.95605,,0.00223,-0.00099,-0.00103,-0.00029,0.00063,-0.00004,0.01210,0.00195,0.00645,-0.00067,0.00012,0.00125,0.00819,0.01836,0.01516,-0.00043,0.00137,0.00185,0.24139,1.18381,0.35585,-0.07065,-0.99452,0.00902,0.09044,1.56874,0.52421,-0.01416,0.99860,-0.04164,-0.05353,1.19667,0.37703,-0.06354,0.98619,0.12590
100.16440,,-0.00462,-0.00170,0.00112,-0.00160,-0.00076,0.00011,-0.00770,-0.00760,0.00698,-0.00063,-0.00061,0.00023,-0.00947,-0.01363,-0.00587,-0.00187,-0.00096,-0.00101,0.23676,1.18211,0.35697,-0.08046,-0.99218,-0.00798,0.08274,1.56114,0.53119,0.00581,0.99855,-0.03447,-0.06300,1.18304,0.37116,-0.05411,0.98803,0.12218
100.37280,,-0.03048,0.02298,0.01427,-0.00956,0.00912,-0.01243,-0.03156,0.00760,0.00166,-0.00221,-0.00240,-0.00097,-0.02058,-0.03430,-0.01708,-0.00685,-0.00812,0.00956,0.20628,1.20509,0.37123,-0.09391,-0.98987,-0.03739,0.05118,1.56874,0.53284,0.00396,0.99828,-0.02784,-0.08358,1.14874,0.35408,-0.03424,0.99503,0.07238
100.58090,,-0.00654,0.00344,0.00672,-0.00050,-0.00288,0.00115,-0.00957,0.00155,-0.00478,0.00023,-0.00057,0.00052,-0.00921,-0.01734,0.00172,0.00191,0.00086,-0.00107,0.19975,1.20853,0.37796,-0.08898,-0.99005,-0.03088,0.04161,1.57028,0.52806,-0.00346,0.99753,-0.03934,-0.09279,1.13140,0.35581,-0.03385,0.99700,0.03691
100.78930,,0.00696,0.00009,-0.00472,-0.00028,0.00125,0.00019,0.01393,-0.00019,-0.00460,-0.00079,0.00012,-0.00037,0.00197,-0.00948,-0.00047,0.00078,0.00106,-0.00079,0.20670,1.20861,0.37324,-0.09056,-0.99028,-0.03155,0.05554,1.57010,0.52346,-0.00345,0.99746,-0.04105,-0.09082,1.12192,0.35533,-0.02777,0.99696,0.02141
100.99960,,0.03269,-0.01516,-0.02013,0.00233,0.00286,0.00121,0.03297,-0.00027,-0.00620,-0.00382,0.00268,0.00025,0.02999,-0.00272,-0.00502,0.00361,0.00494,0.00250,0.23940,1.19345,0.35311,-0.08659,-0.99245,-0.01492,0.08851,1.56982,0.51727,-0.01694,0.99857,-0.03765,-0.06083,1.11920,0.35031,-0.02686,0.99429,0.03254
