uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
81.30977,0,-0.00693,0.01215,-0.00954,-0.01708,0.00775,0.00661,-0.00230,-0.00083,-0.00056,-0.00118,-0.00234,0.00114,-0.00348,-0.00234,0.00014,0.00812,-0.00079,-0.00606,0.13902,0.79691,0.17927,-0.07827,0.89133,-0.37555,-0.13741,1.57805,0.29368,-0.05089,0.99156,0.04231,-0.39241,0.71103,0.25051,-0.20939,-0.84024,0.48357
81.35118,0,-0.00499,0.01352,-0.00746,-0.01912,0.00119,0.00596,-0.00255,0.00087,-0.00111,0.00091,-0.00180,0.00070,-0.00213,-0.00104,-0.00118,-0.00222,-0.00065,0.00295,0.12140,0.83558,0.15423,-0.07700,0.91527,-0.32196,-0.14494,1.57777,0.29113,-0.04900,0.99097,0.04317,-0.39965,0.70701,0.24850,-0.21658,-0.83857,0.48397
81.40691,2,-0.00357,0.01346,-0.00396,-0.00768,-0.00086,0.01437,-0.00277,0.00002,-0.00090,0.00042,-0.00150,0.00068,0.00060,0.00013,-0.00385,-0.00961,-0.00696,0.01418,0.10850,0.88608,0.13528,-0.03607,0.92584,-0.27604,-0.15598,1.57885,0.28705,-0.04542,0.99032,0.04315,-0.39897,0.70327,0.23589,-0.27264,-0.83460,0.47441
81.46262,0,-0.00397,0.01158,-0.00201,-0.00871,-0.00017,0.00503,-0.00247,0.00355,-0.00182,0.00158,-0.00116,0.00031,-0.00014,0.00275,-0.00741,-0.01208,-0.00184,-0.00065,0.09293,0.93788,0.12533,-0.01788,0.93714,-0.22905,-0.16648,1.58114,0.28210,-0.04154,0.98975,0.04377,-0.39514,0.71277,0.20937,-0.27148,-0.85714,0.43738
81.50411,0,-0.00386,0.01057,-0.00038,-0.00149,-0.00275,0.00656,-0.00218,-0.00108,-0.00139,0.00045,-0.00176,0.00215,-0.00032,0.00220,-0.00523,-0.00023,-0.00606,0.00969,0.08099,0.97166,0.12313,-0.00980,0.93841,-0.21319,-0.17318,1.58463,0.27772,-0.03743,0.98964,0.04114,-0.39563,0.72196,0.18836,-0.27731,-0.86222,0.42387
81.55937,0,-0.00659,0.01126,-0.00043,-0.01304,0.01133,-0.00193,-0.00185,-0.00045,-0.00115,0.00015,-0.00079,-0.00153,-0.00119,0.00638,-0.00899,-0.01777,0.00912,-0.01189,0.05917,1.01260,0.12478,0.01734,0.94945,-0.18380,-0.18069,1.58045,0.27400,-0.04123,0.98886,0.04209,-0.40010,0.73747,0.16312,-0.27807,-0.86870,0.40990
81.60122,0,-0.00470,0.00900,0.00057,-0.01439,0.00509,-0.00378,-0.00110,0.00044,-0.00101,0.00069,-0.00025,0.00008,-0.00099,0.00256,-0.00583,-0.00395,0.00249,-0.00604,0.04178,1.04408,0.12490,-0.00943,0.96332,-0.14103,-0.18428,1.58245,0.27039,-0.04110,0.98865,0.04232,-0.40291,0.74899,0.14158,-0.25955,-0.88704,0.38167
81.65712,0,-0.00369,0.00272,0.00075,-0.00278,0.00619,-0.01470,-0.00028,-0.00055,-0.00028,0.00160,0.00071,0.00009,-0.00229,0.00115,-0.00053,0.00325,0.00269,-0.00561,0.02540,1.06415,0.12903,-0.02365,0.97263,-0.11948,-0.18654,1.58144,0.26804,-0.04336,0.98892,0.03874,-0.41036,0.75716,0.13199,-0.23516,-0.89401,0.38020
81.71252,0,-0.00020,0.00373,0.00106,-0.00158,0.00078,0.01325,0.00000,-0.00048,-0.00013,0.00076,0.00030,-0.00059,-0.00151,-0.00008,0.00052,0.00193,0.00308,-0.00415,0.02183,1.07983,0.13321,-0.01606,0.97447,-0.10213,-0.18704,1.57994,0.26705,-0.04212,0.98923,0.03389,-0.41786,0.75971,0.13093,-0.22387,-0.89502,0.38219
81.75435,0,-0.00038,0.00123,0.00009,-0.00013,0.00266,0.00348,0.00057,-0.00041,0.00027,0.00058,0.00075,0.00007,-0.00095,-0.00095,0.00241,0.00119,0.00282,0.00233,0.02054,1.08544,0.13404,0.01506,0.97656,-0.09871,-0.18564,1.57984,0.26737,-0.04217,0.98962,0.03207,-0.42101,0.75834,0.13561,-0.22213,-0.89501,0.38203
